,video_id,video_title,upload_date,upload_status,privacy_status,license,madeForKids
0,ToEl_tpyoM4,Uber Data Science Python Interview Question Walkthrough,2022-01-10,processed,public,youtube,False
1,30hS-MjpU6E,SQL Syntax Best Practices: How to Structure Your SQL Code,2021-12-22,processed,public,youtube,False
2,Bgpp99iz0I0,Most Common Coding Mistakes on Data Science Interviews,2021-11-04,processed,public,youtube,False
3,GeJUvdkJKEc,Multiple Solutions to Data Scientist Interview Question From Amazon [Rolling Average],2021-10-11,processed,public,youtube,False
4,GGURenNfXI0,Multiple Approaches for Solving a Twitter Data Scientist Interview Question,2021-09-13,processed,public,youtube,False
5,PlpUo6bHsBQ,Advanced Facebook Data Science SQL interview question [RANK()],2021-08-09,processed,public,youtube,False
6,uY2wfR8Dkqo,5 Tips for a Successful Data Science Interview,2021-07-26,processed,public,youtube,False
7,yY7yau9j3xk,Data Science SQL Scenario Based Interview Question [Facebook] - Date Manipulation,2021-07-20,processed,public,youtube,False
8,i-E4pdU2qXM,Data Science SQL Interview Question Walkthrough [Microsoft] - Window Function: Ranking,2021-07-13,processed,public,youtube,False
9,T1UhSuKqy3A,Most Common Data Science SQL Interview Question from DoorDash [window functions  partitions],2021-06-15,processed,public,youtube,False
10,2iE3JgNTwVU,A Walkthrough of Data Science SQL Interview Question from Noom (Date Manipulations),2021-06-04,processed,public,youtube,False
11,RgKMbpEylWA,Comparing FAANG vs Non-FAANG Data Science Interview Questions,2021-05-24,processed,public,youtube,False
12,giGIPINLqJs,An Analysis of 900 Data Science Interview Questions | Data Science Interview Guide,2021-05-13,processed,public,youtube,False
13,77IVf0zgmwI,Importing a Pandas Dataframe to a Database in Python [For Your Data Science Project],2021-05-05,processed,public,youtube,False
14,xtbMCAVXDmU,Facebook and Microsoft Data Science SQL interview question walkthrough (advanced),2021-04-15,processed,public,youtube,False
15,fklHBWow8vE,Working with APIs in Python [For Your Data Science Project],2021-04-02,processed,public,youtube,False
16,tNXliLTlrV8,Step-by-step Approach to Solving Any Data Science SQL Interview Question (Twitch),2021-03-24,processed,public,youtube,False
17,XRwxYOhHdE8,Facebook&#39;s Most Common Data Science SQL Interview Question [2021 Interview Question and Answer],2021-03-10,processed,public,youtube,False
18,pV_mnZgzXEo,"Coding Concepts in Data Science Interviews in 2021 (Facebook, Twitch, Postmates)",2021-03-03,processed,public,youtube,False
19,c4Af2FcgamA,The One and Only Data Science Project You Need,2021-02-24,processed,public,youtube,False
20,QenwDm5oWdU,Advanced Data Science SQL Interview Question [Amazon] (window functions  aliasing),2021-02-17,processed,public,youtube,False
21,TYHWv1vT0Pk,Common Date Manipulations on Data Science SQL Interviews,2021-02-11,processed,public,youtube,False
22,0GpgMvyN0Fg,How I Learned Data Science (resources to get a job) in 2021,2021-02-04,processed,public,youtube,False
23,VYeevsVj4fU,Advanced SQL Questions From Amazon (Handling complex logic in data science interviews),2021-01-27,processed,public,youtube,False
24,vLjAG9eXkcU,Solving Complex SQL Interview Questions [How to organize lengthy code solutions],2021-01-20,processed,public,youtube,False
25,lG0PbUq4wkg,Top Data Science Interview Questions in 2021 [3 concepts tested on all interviews],2021-01-13,processed,public,youtube,False
26,j8kGqAAIhxA,Top Data Science Interview Question And Answer Mistakes 2021 [Asked By Amazon],2021-01-06,processed,public,youtube,False
27,W_IERUwElkg,SQL Case Statements For Data Science Interviews in 2021,2020-12-28,processed,public,youtube,False
28,eC7MdwKCCOE,Tricky Data Science Interview Question [By Facebook],2020-12-22,processed,public,youtube,False
29,XBE09l-UYTE,"SQL Window Functions on Data Science Interviews in 2021 | Asked By Airbnb, Netflix, Twitter, Uber",2020-12-17,processed,public,youtube,False
30,C0hk-dZ9XSE,SQL Window Functions In a Data Science Interview Question by Airbnb in 2021,2020-12-10,processed,public,youtube,False
31,N0aHeKyNEto,Applying Software Engineering Principles To Your Data Science Tasks In Python,2020-12-03,processed,public,youtube,False
32,TDwy1lSjEZo,Automating Your Data Science Tasks In Python (importing CSV files to database AUTOMATION TUTORIAL),2020-11-24,processed,public,youtube,False
33,EPUayNC5ku4,SQL Coding Interview Question Using A Window Function (PARTITION BY) | Data Science Interviews,2020-11-19,processed,public,youtube,False
34,wqBFgaMgFQA,Solve Data Science Tasks In Python (Saving Hours) (automating import CSV files to database),2020-11-15,processed,public,youtube,False
35,IKw0lkmBHNI,Solving an Airbnb Data Science Coding Interview Question | SQL Interview  [Fav Host Nationality],2020-11-11,processed,public,youtube,False
36,_gy1o9UH2dQ,Hard SQL Interview Question From FACEBOOK | Data Science Coding Interviews (Popularity Percentage),2020-11-04,processed,public,youtube,False
37,7Q-2DEwHW7w,Solving a SQL Interview Question by FACEBOOK | (Data Science Interview) SMS Confirmations From Users,2020-10-29,processed,public,youtube,False
38,pFwYjaeKFvQ,Solving a Facebook Data Science Interview Questions | (SQL Interview Questions and Answer),2020-10-22,processed,public,youtube,False
39,iR8FDQyCtnw,SQL Interview Questions From MICROSOFT | Expensive Projects (Data Science Interview Questions),2020-10-20,processed,public,youtube,False
40,1SgHHQeRuxs,How I Prepare For My Data Science Interviews (From a Data Scientist),2020-10-18,processed,public,youtube,False
41,UndSRKwsxKM,YELP SQL Data Science Interview Questions | Common Coding Question (Mock Interview Walkthrough),2020-10-10,processed,public,youtube,False
42,U9P4M4EPTgI,Intro to Real Data Science Interview Questions and Answers Series (Interview Walkthroughs),2020-09-23,processed,public,youtube,False
43,S7gKkRxlk1U,Real Data Science Interview Question From Facebook | Friend Acceptance Rate (Interview Walkthrough),2020-09-23,processed,public,youtube,False
44,rMoUoYxfBNk,How To Discuss Trade-offs in a Data Science Interview - Data Science Interview Tip #5,2020-09-20,processed,public,youtube,False
45,60NaEc7NP_U,My Data Science Career Path (From Novice to Your First Job) - Your Journey to Data Science,2020-09-13,processed,public,youtube,False
46,5-1ClCuQCIw,How to Organize Data Science Interview Solution | Data Science Interview Tip #3,2020-08-30,processed,public,youtube,False
47,rf2udE9q-SM,How To Get Your First Data Science Job Interview | Data Science Interviews Tip #2,2020-08-20,processed,public,youtube,False
